2015-12-17 16:57:39 status half-installed libdebconfclient0:armhf 0.192
2015-12-17 16:57:40 status unpacked libdebconfclient0:armhf 0.192
2015-12-17 16:57:40 status unpacked libdebconfclient0:armhf 0.192
2015-12-17 16:57:40 install libdevmapper1.02.1:armhf <none> 2:1.02.90-2.2
2015-12-17 16:57:40 status half-installed libdevmapper1.02.1:armhf 2:1.02.90-2.2
2015-12-17 16:57:40 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2
2015-12-17 16:57:40 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2
2015-12-17 16:57:40 install libgcc1:armhf <none> 1:4.9.2-10
2015-12-17 16:57:40 status half-installed libgcc1:armhf 1:4.9.2-10
2015-12-17 16:57:40 status unpacked libgcc1:armhf 1:4.9.2-10
2015-12-17 16:57:40 status unpacked libgcc1:armhf 1:4.9.2-10
2015-12-17 16:57:41 install libgcrypt20:armhf <none> 1.6.3-2
2015-12-17 16:57:41 status half-installed libgcrypt20:armhf 1.6.3-2
2015-12-17 16:57:41 status unpacked libgcrypt20:armhf 1.6.3-2
2015-12-17 16:57:41 status unpacked libgcrypt20:armhf 1.6.3-2
2015-12-17 16:57:41 install libgpg-error0:armhf <none> 1.17-3
2015-12-17 16:57:41 status half-installed libgpg-error0:armhf 1.17-3
2015-12-17 16:57:41 status unpacked libgpg-error0:armhf 1.17-3
2015-12-17 16:57:41 status unpacked libgpg-error0:armhf 1.17-3
2015-12-17 16:57:42 install libkmod2:armhf <none> 18-3
2015-12-17 16:57:42 status half-installed libkmod2:armhf 18-3
2015-12-17 16:57:42 status unpacked libkmod2:armhf 18-3
2015-12-17 16:57:42 status unpacked libkmod2:armhf 18-3
2015-12-17 16:57:42 install liblocale-gettext-perl:armhf <none> 1.05-8+b1
2015-12-17 16:57:42 status half-installed liblocale-gettext-perl:armhf 1.05-8+b1
2015-12-17 16:57:42 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2015-12-17 16:57:42 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2015-12-17 16:57:42 install liblzma5:armhf <none> 5.1.1alpha+20120614-2+b3
2015-12-17 16:57:42 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2+b3
2015-12-17 16:57:42 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2+b3
2015-12-17 16:57:42 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2+b3
2015-12-17 16:57:43 install libmount1:armhf <none> 2.25.2-6
2015-12-17 16:57:43 status half-installed libmount1:armhf 2.25.2-6
2015-12-17 16:57:43 status unpacked libmount1:armhf 2.25.2-6
2015-12-17 16:57:43 status unpacked libmount1:armhf 2.25.2-6
2015-12-17 16:57:43 install libncurses5:armhf <none> 5.9+20140913-1+b1
2015-12-17 16:57:43 status half-installed libncurses5:armhf 5.9+20140913-1+b1
2015-12-17 16:57:43 status unpacked libncurses5:armhf 5.9+20140913-1+b1
2015-12-17 16:57:43 status unpacked libncurses5:armhf 5.9+20140913-1+b1
2015-12-17 16:57:43 install libncursesw5:armhf <none> 5.9+20140913-1+b1
2015-12-17 16:57:43 status half-installed libncursesw5:armhf 5.9+20140913-1+b1
2015-12-17 16:57:44 status unpacked libncursesw5:armhf 5.9+20140913-1+b1
2015-12-17 16:57:44 status unpacked libncursesw5:armhf 5.9+20140913-1+b1
2015-12-17 16:57:44 install libpam-modules:armhf <none> 1.1.8-3.1
2015-12-17 16:57:44 status half-installed libpam-modules:armhf 1.1.8-3.1
2015-12-17 16:57:45 status unpacked libpam-modules:armhf 1.1.8-3.1
2015-12-17 16:57:45 status unpacked libpam-modules:armhf 1.1.8-3.1
2015-12-17 16:57:45 install libpam-modules-bin:armhf <none> 1.1.8-3.1
2015-12-17 16:57:45 status half-installed libpam-modules-bin:armhf 1.1.8-3.1
2015-12-17 16:57:46 status unpacked libpam-modules-bin:armhf 1.1.8-3.1
2015-12-17 16:57:46 status unpacked libpam-modules-bin:armhf 1.1.8-3.1
2015-12-17 16:57:46 install libpam-runtime:all <none> 1.1.8-3.1
2015-12-17 16:57:46 status half-installed libpam-runtime:all 1.1.8-3.1
2015-12-17 16:57:46 status unpacked libpam-runtime:all 1.1.8-3.1
2015-12-17 16:57:46 status unpacked libpam-runtime:all 1.1.8-3.1
2015-12-17 16:57:46 install libpam0g:armhf <none> 1.1.8-3.1
2015-12-17 16:57:46 status half-installed libpam0g:armhf 1.1.8-3.1
